Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,ANI Check status,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Contig N50,Assembly Stats Scaffold N50,Assembly Stats Number of Scaffolds,Annotation BUSCO Complete ,Annotation BUSCO Single Copy ,Annotation BUSCO Duplicated ,Annotation BUSCO Fragmented ,Annotation BUSCO Missing ,Annotation BUSCO Lineage ,Assembly Sequencing Tech,Assembly Submitter,Assembly BioProject Accession,Assembly BioSample Accession,Annotation Count Gene Total,Annotation Count Gene Protein-coding,Annotation Count Gene Pseudogene,Type Material Display Text,CheckM marker set,CheckM completeness,CheckM contamination
GCF_000993805.1,ASM99380v1,Infirmifilum uzonense,1550241,OK,,1807-2,,,,,GCF_000993805.1-RS_2024_10_22,1611988,1,Complete Genome,5/7/2015,,1611988,1611988,1,,,,,,,Sanger dideoxy sequencing; Illumina; IonTorrent,Immanuel Kant Baltic Federal University,PRJNA262459,SAMN03083278,1766,1701,14,assembly from type material,Thermoprotei,97.02,0.6
GCF_000739065.1,ASM73906v1,Methanocaldococcus bathoardescens,1301915,OK,,JH146,,,,,GCF_000739065.1-RS_2024_10_21,1607556,1,Complete Genome,8/12/2014,,1607556,1607556,1,,,,,,,454; Illumina,Kyung Hee University,PRJNA242490,SAMN02951366,1714,1653,16,assembly from type material,Methanocaldococcus,97.86,0.74
GCF_013340765.1,NAS2_1.0,Conexivisphaera calida,1874277,OK,,NAS-02,,,,,GCF_013340765.1-RS_2024_03_28,1593902,1,Complete Genome,5/9/2019,,1593902,1593902,1,,,,,,,Illumina MiSeq; Ion Torrent PGM; 454 GS FLX; ABI 3730,Japan Collection of Microorganisms,PRJDB5009,SAMD00056253,1662,1607,4,assembly from type material,Thaumarchaeota,70.69,12.29
GCF_013407165.1,ASM1340716v1,Nitrosopumilus oxyclinae,1959104,OK,,HCE1,,,,,GCF_013407165.1-RS_2024_05_05,1585110,1,Complete Genome,7/13/2020,,1585110,1585110,1,,,,,,,PacBio,University of Washington,PRJNA434055,SAMN08535025,1926,1873,5,assembly from type material,Nitrosopumilaceae,89.65,9.05
GCF_013407145.1,ASM1340714v1,Nitrosopumilus cobalaminigenes,1470066,OK,,HCA1,,,,,GCF_013407145.1-RS_2024_05_05,1563356,1,Complete Genome,7/13/2020,,1563356,1563356,1,,,,,,,PacBio,University of Washington,PRJNA434052,SAMN08535023,1950,1896,6,assembly from type material,Nitrosopumilaceae,90.83,8.46
GCF_902827225.1,Methanocaldococcus_lauensis_SG7,Methanocaldococcus lauensis,2546128,OK,,SG7,,,,,GCF_902827225.1-RS_2024_10_23,1537427,2,Complete Genome,5/25/2021,,1532285,1532285,2,,,,,,,,Genoscope CEA,PRJEB37473,SAMEA6654823,1621,1552,23,assembly from type material,Methanocaldococcus,98.26,0.56
GCF_000800805.1,ASM80080v1,Candidatus Methanoplasma termitum,1577791,OK,,MpT1,,,,,GCF_000800805.1-RS_2024_10_21,1488669,1,Complete Genome,12/11/2014,,1488669,1488669,1,,,,,,,Sanger dideoxy sequencing; 454,"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory",PRJNA268719,SAMN03224143,1466,1404,11,assembly from type material,Thermoplasmata,69.72,10.98
GCF_020618475.1,ASM2061847v1,Haladaptatus halobius,2884875,OK,,PSR5,,,,,GCF_020618475.1-RS_2024_07_29,7279389,9,Complete Genome,10/26/2021,,1409663,1409663,9,,,,,,,Illumina,Jiangsu University,PRJNA772077,SAMN22361724,7750,7354,333,assembly from type material,Halobacteriales,99.93,2.14
GCF_000264495.1,ASM26449v1,Thermogladius calderae 1633,1184251,OK,,1633,,,,,GCF_000264495.1-RS_2024_03_28,1356318,1,Complete Genome,5/25/2012,,1356318,1356318,1,,,,,,,,Centre Bioengineering RAS,PRJNA163135,SAMN02603096,1472,1416,5,assembly from type material,Thermogladius,97.66,0.97
GCF_029232205.1,ASM2923220v1,Candidatus Nanohalovita haloferacivicina,2978046,OK,,BNXNv,,,,,GCF_029232205.1-RS_2024_05_29,1046959,1,Complete Genome,3/17/2023,,1046959,1046959,1,,,,,,,Illumina MiSeq; Oxford Nanopore MinION,Consiglio nazionale delle ricerche,PRJNA865582,SAMN30630966,1211,1168,1,assembly from type material,Archaea,86.29,0.93
GCF_029207735.1,ASM2920773v1,Candidatus Nanohalococcus occultus,2978047,OK,,SVXNc,,,,,GCF_029207735.1-RS_2024_05_29,948351,1,Complete Genome,3/14/2023,,948351,948351,1,,,,,,,Illumina MiSeq; Oxford Nanopore MinION,Consiglio nazionale delle ricerche,PRJNA865582,SAMN30630938,1091,1048,1,assembly from type material,Archaea,86.06,
GCF_023169545.1,ASM2316954v1,Nanobdella aerobiophila,2586965,OK,,MJ1,,,,,GCF_023169545.1-RS_2024_09_19,668961,1,Complete Genome,2/22/2022,,668961,668961,1,,,,,,,Illumina MiSeq; Oxford Nanopore,RIKEN,PRJDB8408,SAMD00173595,772,723,3,assembly from type material,Archaea,72.66,
GCF_000022445.1,ASM2244v1,Sulfolobus islandicus M.16.4,426118,OK,,M.16.4,,,,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2586647,1,Complete Genome,5/27/2009,,2586647,2586647,1,,,,,,,,US DOE Joint Genome Institute,PRJNA18807,SAMN02598414,2862,2696,114,,Sulfolobus islandicus,98.42,0.26
GCF_003852155.1,ASM385215v1,Saccharolobus solfataricus,2287,OK,,SULM,,,,,GCF_003852155.1-RS_2024_03_28,2658139,1,Complete Genome,11/29/2018,,2658139,2658139,1,,,,,,,Illumina HiSeq,University of Nebraska-Lincoln,PRJNA347854,SAMN05896746,2935,2619,265,,Sulfolobus solfataricus,96.3,1.47
GCF_001458655.1,Mb9,Methanobacterium formicicum,2162,OK,,,,,Mb9,,GCF_001458655.1-RS_2024_10_22,2494510,1,Complete Genome,11/16/2015,,2494510,2494510,1,,,,,,,,CEBITEC,PRJEB7298,SAMEA2779801,2469,2409,5,,Methanobacterium,95.38,1.65
GCF_004126515.1,ASM412651v1,Halorubrum ezzemoulense,337243,OK,,Fb21,,,,,GCF_004126515.1-RS_2024_10_23,3726301,3,Complete Genome,2/1/2019,,3062294,3062294,3,,,,,,,Illumina MiSeq; PacBio,University of Connecticut,PRJNA513349,SAMN10709458,3771,3546,143,,Halorubrum,98.9,2.39
GCF_000009185.1,ASM918v1,Haloquadratum walsbyi DSM 16790,362976,OK,,DSM 16790 = HBSQ001,,,,,GCF_000009185.1-RS_2024_10_21,3179361,2,Complete Genome,6/22/2006,,3132494,3132494,2,,,,,,,,Max Planck Institute,PRJNA17185,SAMEA3138195,2936,2705,178,,Haloquadratum walsbyi,97.03,0.26
GCF_024730625.1,ASM2473062v1,Haloferax larsenii,302484,Inconclusive,,NCIM 5678,,,,,GCF_024730625.1-RS_2024_05_06,3720723,3,Complete Genome,8/22/2022,,3048879,3048879,3,,,,,,,Oxford Nanopore GridION; Illumina HiSeq,Indian Institute of Technology Delhi,PRJNA742554,SAMN19967896,3795,3701,31,,Haloferax,96.12,4.11
GCF_001190965.1,ASM119096v1,Haloferax gibbonsii,35746,OK,,ARA6,,,,,GCF_001190965.1-RS_2024_10_22,3918454,5,Complete Genome,8/3/2015,,2945391,2945391,5,,,,,,,Illumina Miseq,Universidade do Estado do Rio de Janeiro,PRJNA285662,SAMN03755233,3935,3845,25,,Haloferax,98.69,1.27
GCF_002355635.1,ASM235563v1,Halopenitus persicus,1048396,Inconclusive,,CBA1233,,,,,GCF_002355635.1-RS_2024_10_22,3105937,2,Complete Genome,6/23/2016,,2967917,2967917,2,,,,,,,PacBio,Korea Basic Science Institute,PRJDB4920,SAMD00053810,3082,2932,79,,Halobacteriales,97.72,
GCF_001563245.1,ASM156324v1,Methanobrevibacter olleyae,294671,OK,,YLM1,,,,,GCF_001563245.1-RS_2024_10_22,2201192,1,Complete Genome,2/18/2016,,2201192,2201192,1,,,,,,,454; Illumina,PGgRc,PRJNA49591,SAMN04335716,1914,1846,25,,Methanobrevibacter,96.99,2.68
GCF_000303155.1,ASM30315v1,Candidatus Nitrososphaera gargensis Ga9.2,1237085,Inconclusive,,,,,enrichment culture Ga9.2,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),2833868,1,Complete Genome,10/5/2012,,2833868,2833868,1,,,,,,,Sanger dideoxy sequencing; 454,Georg-August-University Goettingen,PRJNA60505,SAMN02603264,3600,3512,37,,Thaumarchaeota,98.87,2.08
GCF_946463545.1,Mth-DSM-2095-CCS-WG,Methanothermococcus thermolithotrophicus DSM 2095,523845,OK,,,,,M. thermolithotrophicus DSM 2095,,NCBI Prokaryotic Genome Annotation Pipeline (PGAP),1706496,1,Complete Genome,8/31/2022,,1706496,1706496,1,,,,,,,Pacific Biosciences Sequel II,Max Planck Institute for Marine Microbiology,PRJEB53446,SAMEA110262234,1729,1671,11,,Methanothermococcus,99.14,1.23
GCF_036967215.1,ASM3696721v1,Sulfolobus tengchongensis,207809,Inconclusive,,RT2,,,,,GCF_036967215.1-RS_2024_04_05,2774215,2,Complete Genome,4/5/2024,,2744695,2744695,2,,,,,,,PacBio RSII; Illumina HiSeq,"Laboratory of Cellular Immunotherapy, neo-TCR Therapeutics",PRJNA1077677,SAMN39979237,2831,2731,49,,Sulfolobus,98.02,2.3
GCF_000191585.1,ASM19158v1,Methanobacterium lacus,877455,Inconclusive,,AL-21,,,,,GCF_000191585.1-RS_2024_10_21,2583753,1,Complete Genome,3/7/2011,,2583753,2583753,1,,,,,,,454/Illumina,US DOE Joint Genome Institute,PRJNA53495,SAMN02232037,2575,2512,12,,Methanobacterium,99.8,0.29
GCF_000299395.1,ASM29939v1,Candidatus Nitrosopumilus sediminis,1229909,Inconclusive,,AR2,,,,,GCF_000299395.1-RS_2024_03_28,1690905,1,Complete Genome,9/27/2012,,1690905,1690905,1,,,,,,,,Chungbuk National University,PRJNA174388,SAMN02603138,2129,2078,3,,Nitrosopumilaceae,93.35,7.32
GCF_000955905.1,ASM95590v3,Candidatus Nitrosotenuis cloacae,1603555,Inconclusive,,SAT1,,,,,GCF_000955905.1-RS_2024_03_31,1620156,1,Complete Genome,4/20/2015,,1620156,1620156,1,,,,,,,Illumina HiSeq,Tsinghua University,PRJNA272771,SAMN03286947,1924,1871,2,,Thaumarchaeota,97.77,3.3
GCF_000970265.1,ASM97026v1,Methanosarcina lacustris Z-7289,1434111,Inconclusive,,Z-7289,,,,,GCF_000970265.1-RS_2024_10_21,4139808,1,Complete Genome,4/7/2015,,4139808,4139808,1,,,,,,,ABI 3730; 454 GS-FLX Titanium; Illumina GAIIx; Illumina MiSeq,University of Illinois at Urbana-Champaign,PRJNA230943,SAMN03074579,3521,3338,116,,Methanosarcina,89.74,4.15
GCF_005890195.1,ASM589019v1,Natrinema pallidum,69527,OK,,BOL6-1,,,,,GCF_005890195.1-RS_2024_10_23,3778093,3,Complete Genome,5/30/2019,,3503953,3503953,3,,,,,,,PacBio RSII,University of Maryland,PRJNA412908,SAMN11840646,3839,3707,69,,Natrinema,97.68,2.08
GCF_000235565.1,ASM23556v1,Methanothrix harundinacea 6Ac,1110509,Inconclusive,,6Ac,,,,,GCF_000235565.1-RS_2024_10_21,2571034,2,Complete Genome,11/16/2011,,2559043,2559043,2,,,,,,,,"State Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences",PRJNA76151,SAMN02603883,2568,2499,18,,Methanosaeta,99.79,2.26
GCF_000213215.1,ASM21321v1,Acidianus hospitalis W1,933801,Inconclusive,,W1,,,,,GCF_000213215.1-RS_2024_05_01,2137654,1,Complete Genome,5/12/2011,,2137654,2137654,1,,,,,,,,"Archaea Centre, Department of Biology, University of Copenhagen, Copenhagen 2200 N, Denmark",PRJNA60875,SAMN02602984,2528,2417,60,,Sulfolobaceae,99.64,0.43
GCF_000193375.1,ASM19337v1,Thermoproteus uzoniensis 768-20,999630,Inconclusive,,768-20,,,,,GCF_000193375.1-RS_2024_03_28,1936063,1,Complete Genome,3/28/2011,,1936063,1936063,1,,,,,,,,Centre Bioengineering RAS,PRJNA64455,SAMN02603093,2248,2189,10,,Thermoproteus,99.22,0.71
GCF_902383905.1,UHGG_MGYG-HGUT-02160,Candidatus Methanomassiliicoccus intestinalis,1406512,Inconclusive,,,,,MGYG-HGUT-02160,,GCF_902383905.1-RS_2024_10_23,1931651,1,Complete Genome,8/10/2019,,1931651,1931651,1,,,,,,,,EMG,PRJEB33885,SAMEA5851664,1903,1839,12,,Thermoplasmata,71.76,19.86
GCF_000299365.1,ASM29936v1,Candidatus Nitrosopumilus koreensis AR1,1229908,Inconclusive,,AR1,,,,,GCF_000299365.1-RS_2024_03_28,1639964,1,Complete Genome,9/27/2012,,1639964,1639964,1,,,,,,,,Chungbuk National University,PRJNA174387,SAMN02603137,2048,1976,25,,Nitrosopumilaceae,93.66,10.57
GCF_000019605.1,ASM1960v1,Candidatus Korarchaeum cryptofilum OPF8,374847,Inconclusive,,,,,OPF8,,GCF_000019605.1-RS_2024_09_08,1590757,1,Complete Genome,3/18/2008,,1590757,1590757,1,,,,,,,,US DOE Joint Genome Institute,PRJNA16525,SAMN02598368,1730,1671,8,,Archaea,93.39,2.8
GCF_016906025.1,ASM1690602v1,Haloterrigena salifodinae,2675099,OK,,BOL5-1,,,,,GCF_016906025.1-RS_2024_10_23,5087240,6,Complete Genome,2/18/2021,,4180318,4180318,6,,,,,,,PacBio Sequel,University of Maryland,PRJNA412908,SAMN17385152,4992,4812,110,,Haloterrigena,93.61,4.41
GCF_000730285.1,ASM73028v1,Candidatus Nitrososphaera evergladensis SR1,1459636,Inconclusive,,,,,SR1,,GCF_000730285.1-RS_2024_03_28,2954373,1,Complete Genome,7/17/2014,,2954373,2954373,1,,,,,,,IonTorrent; PacBio,University of Florida,PRJNA235208,SAMN03081530,3361,3302,7,,Thaumarchaeota,97.86,7.26
GCF_002116695.1,ASM211669v1,Acidianus manzaensis,282676,Inconclusive,,YN-25,,,,,GCF_002116695.1-RS_2024_03_28,2687463,1,Complete Genome,5/1/2017,,2687463,2687463,1,,,,,,,Illumina HiSeq; PacBio,"Cental South University, China",PRJNA380321,SAMN06640543,2792,2705,36,,Sulfolobaceae,99.25,2.26
GCF_900095295.1,MCBB,Methanobacterium congolense,118062,Inconclusive,,,,,Buetzberg,,GCF_900095295.1-RS_2024_10_22,2469575,2,Complete Genome,9/8/2016,,2451457,2451457,2,,,,,,,,CEBITEC,PRJEB14599,SAMEA4378819,2401,2334,9,,Methanobacterium,95.39,5.5
GCF_002787055.1,ASM278705v1,Candidatus Nitrosotenuis aquarius,1846278,Inconclusive,,AQ6F,,,,,GCF_002787055.1-RS_2024_03_31,1697207,1,Complete Genome,11/20/2017,,1697207,1697207,1,,,,,,,Illumina,University of Waterloo,PRJNA406986,SAMN07637255,2042,1989,3,,Thaumarchaeota,97.64,2.42
GCF_002906215.1,ASM290621v1,Candidatus Nitrosocaldus islandicus,2045011,Inconclusive,,,,,3F,,GCF_002906215.1-RS_2024_05_03,1617394,1,Complete Genome,1/29/2018,,1617394,1617394,1,,,,,,,Illumina HiSeq; Nanopore,University of Vienna,PRJNA413650,SAMN07759886,1759,1703,7,,Thaumarchaeota,89.52,4.88
GCF_900248165.1,Nitrosocaldus cavascurensis SCU2 chromosome,Candidatus Nitrosocaldus cavascurensis,2058097,Inconclusive,,SCU2,,,,,GCF_900248165.1-RS_2024_03_28,1577284,1,Complete Genome,1/31/2018,,1577284,1577284,1,,,,,,,,UNIVERSITY OF VIENNA,PRJEB24312,SAMEA104466896,1723,1673,1,,Thaumarchaeota,90.65,4.88
GCF_002156965.1,ASM215696v1,Candidatus Nitrosomarinus catalina,1898749,Inconclusive,,SPOT01,,,,,GCF_002156965.1-RS_2024_03_31,1360076,1,Complete Genome,5/22/2017,,1360076,1360076,1,,,,,,,Illumina MiSeq,University of Southern California,PRJNA341864,SAMN05730076,1718,1664,6,,Nitrosopumilaceae,86.78,8.5
GCF_000812185.1,ASM81218v1,Candidatus Nitrosopelagicus brevis,1410606,Inconclusive,,CN25,,,,,GCF_000812185.1-RS_2024_08_11,1232128,1,Complete Genome,12/31/2014,,1232128,1232128,1,,,,,,,Illumina GAIIx,J. Craig Venter Institute,PRJNA223412,SAMN03273964,1506,1456,3,,Thaumarchaeota,95.57,1.93
GCF_009617975.1,ASM961797v1,Candidatus Nanohalobium constans,2565781,Inconclusive,,LC1Nh,,,,,GCF_009617975.1-RS_2024_08_17,973463,1,Complete Genome,11/7/2019,,973463,973463,1,,,,,,,Illumina MiSeq,C.N.R. - Institute for Biological Resources and Marine Biotechnology (IRBIM),PRJNA531595,SAMN11370769,1231,1186,2,,Archaea,85.2,0.93
GCF_002214165.1,ASM221416v1,Candidatus Mancarchaeum acidiphilum,1920749,Inconclusive,,Mia14,,,,,GCF_002214165.1-RS_2024_03_28,952257,1,Complete Genome,7/3/2017,,952257,952257,1,,,,,,,Illumina,Fidelity Systems,PRJNA353339,SAMN06014021,1019,968,5,,Archaea,81.46,
